sq,question,option_a,option_b,option_c,option_d,answer,type,category
"199","From a point 50 m away from a building, the angle of elevation of the top is 30°. Find the height of the building.","25 m","50 m","50√3 m","100 m","C","technical","Heights & Distance"
"200","A ladder leans against a wall making an angle of 60° with the ground. If the ladder is 10 m long, find its height on the wall.","5 m","5√3 m","10 m","10√3 m","B","technical","Heights & Distance"
"201","From the top of a 20 m building, the angle of depression of a car is 30°. Find the distance of the car from the building.","10 m","20√3 m","20 m","10√3 m","D","technical","Heights & Distance"
"202","The angle of elevation of the top of a tower from two points 30 m apart on the same line is 30° and 60°. Find the height of the tower.","10 m","20 m","30 m","40 m","C","technical","Heights & Distance"
"203","A man observes a tower from a distance of 50 m and sees the top at an angle of elevation of 45°. Find the height of the tower.","50 m","25 m","50√2 m","25√2 m","A","technical","Heights & Distance"
"204","From the top of a 15 m high building, the angle of depression of a car is 45°. Find the distance of the car from the building.","15 m","20 m","15√2 m","10√2 m","C","technical","Heights & Distance"
"205","A man 1.8 m tall walks away from a streetlight and his shadow is 3 m. Find the height of the streetlight if the distance between him and the streetlight is 10 m.","6 m","8 m","7 m","5 m","A","technical","Heights & Distance"
"206","A tower is 50 m high. Find the distance of a point from the base if the angle of elevation to the top is 45°.","50 m","25 m","100 m","50√2 m","A","technical","Heights & Distance"
"207","From a point, the angles of elevation of the top and bottom of a tower are 60° and 30°, respectively. Find the height of the tower if the distance from the point to the base is 20 m.","10 m","20 m","30 m","40 m","C","technical","Heights & Distance"
"208","A 12 m high pole casts a shadow of 6√3 m. Find the angle of elevation of the sun.","30°","45°","60°","75°","C","technical","Heights & Distance"
"209","The angle of elevation of a balloon from two points on the ground 50 m apart are 30° and 60°. Find the height of the balloon.","50 m","25√3 m","20 m","10√3 m","B","technical","Heights & Distance"
"210","A man 2 m tall stands at 10 m from a pole. The angle of elevation of the top of the pole is 60°. Find the height of the pole.","8 m","10 m","12 m","14 m","C","technical","Heights & Distance"
"211","From the foot of a tower, the angle of elevation of the top is 45°. If the observer moves 20 m closer, the angle becomes 60°. Find the height of the tower.","20 m","10√3 m","15 m","25 m","B","technical","Heights & Distance"
"212","A 5 m high building casts a shadow of 5√3 m. Find the angle of elevation of the sun.","30°","45°","60°","75°","C","technical","Heights & Distance"
"213","The top of a 30 m high tower is observed from a point on the ground at an angle of 30°. Find the distance from the point to the base.","30√3 m","50 m","30 m","60 m","A","technical","Heights & Distance"
"214","From the top of a 20 m high tower, the angle of depression of a car is 30°. Find the horizontal distance of the car from the tower.","20√3 m","20 m","10√3 m","30 m","A","technical","Heights & Distance"
"215","A tree casts a shadow of 10 m when the angle of elevation of the sun is 30°. Find the height of the tree.","5 m","10√3 m","5√3 m","20 m","C","technical","Heights & Distance"
"216","A person 1.6 m tall stands 8 m away from a pole. If the angle of elevation of the top of the pole is 45°, find the height of the pole.","8 m","10 m","9.6 m","12 m","C","technical","Heights & Distance"
"217","In a certain code language, 'APPLE' is written as 'CQRRJ'. How is 'MANGO' written?","OCQHP","NBMFP","NBOFP","MCNHP","C","technical","Coding-Decoding"
"218","If in a code, 'CAT' is written as 'XZG', how is 'DOG' written?","WLT","WLH","WLJ","WMH","B","technical","Coding-Decoding"
"219","In a code language, 'BRIGHT' is written as 'CSJHIU'. How is 'LIGHT' written?","MJHIU","MJGHI","LJHIU","MJHIJ","A","technical","Coding-Decoding"
"220","If 'PAPER' is coded as 'QBSFS', what is the code for 'BOOK'?","CPPL","CPPL","CPPQ","CPOL","B","technical","Coding-Decoding"
"221","In a certain code, 'EASY' is 'HDBV'. How is 'HARD' coded?","KDUH","HDUR","KDUR","KDUA","A","technical","Coding-Decoding"
"222","If 'FIRE' is written as 'GJSG', then 'WATER' is written as?","XBUFS","XBUFS","XBUFT","XBVFS","B","technical","Coding-Decoding"
"223","In a code, 'HELLO' is 'JGNNQ'. How is 'WORLD' written?","XPSME","XPTME","XPRME","XPSNF","A","technical","Coding-Decoding"
"224","If 'TREE' is coded as 'USFF', then 'PLANT' is?","QMBOU","QMBPT","QMBNT","QMBOU","A","technical","Coding-Decoding"
"225","In a code, each letter is replaced by the next vowel. How is 'CODE' written?","DIDI","CIDI","DODO","CODO","D","technical","Coding-Decoding"
"226","If 'CAT' is written as '312', 'DOG' is '415', then 'BAT' is?","213","213","214","215","A","technical","Coding-Decoding"
"227","In a certain code, 'MONDAY' is 'NPOEBZ'. How is 'FRIDAY' written?","GSEJBZ","GSEIBZ","GTEJBZ","GTEIBZ","A","technical","Coding-Decoding"
"228","If 'SUN' is 'TVP', then 'MOON' is?","NPPO","NPPM","NPPO","NPPQ","C","technical","Coding-Decoding"
"229","In a code, 'TABLE' is 'UBCMF'. How is 'CHAIR' written?","DIBJS","DHBJS","DIBJS","DIBKT","A","technical","Coding-Decoding"
"230","If 'LIGHT' is coded as 'MJHIU', then 'BRIGHT' is?","CSJHIU","CSJHIU","CSKHIU","CSJHIJ","A","technical","Coding-Decoding"
"231","In a code, letters are reversed in alphabet. How is 'CAT' written?","XZG","XZC","XZG","XAG","A","technical","Coding-Decoding"
"232","If letters are shifted two steps forward, how is 'BOOK' coded?","DQQM","DQQL","DPQM","DPQL","A","technical","Coding-Decoding"
"233","In a code, consonants are replaced by next consonant. How is 'BIRD' written?","CJSE","CJSD","CJSE","BKSE","A","technical","Coding-Decoding"
"234","If 'LOVE' is coded as 'MOWF', how is 'HATE' written?","IBUF","IBUF","IBUF","IBVG","A","technical","Coding-Decoding"
"235","In a code, each letter is replaced by the one 3 places before. How is 'CODE' written?","ZLAB","ZLAC","ZLBB","ZLAD","A","technical","Coding-Decoding"
"236","In a code, each letter is replaced by the one 3 places before. How is 'CODE' written?","ZLAB","ZLAC","ZLBB","ZLAD","A","technical","Coding-Decoding"
"237","Pointing to a man, Ravi said, 'He is the son of my grandfather’s only son.' How is the man related to Ravi?","Brother","Cousin","Uncle","Father","A","technical","Blood Relations & Direction Sense"
"238","A is the father of B. B is the sister of C. How is C related to A?","Son","Daughter","Nephew","Niece","A","technical","Blood Relations & Direction Sense"
"239","Pointing to a photograph, Neha said, 'She is the daughter of my mother’s only son.' How is the person in the photo related to Neha?","Sister","Daughter","Niece","Cousin","A","technical","Blood Relations & Direction Sense"
"240","If X is the brother of Y, Y is the sister of Z, and Z is the father of P, how is X related to P?","Uncle","Father","Brother","Cousin","A","technical","Blood Relations & Direction Sense"
"241","Pointing to a lady, Raj said, 'She is the wife of the only son of my mother.' How is the lady related to Raj?","Sister","Mother","Wife","Sister-in-law","D","technical","Blood Relations & Direction Sense"
"242","A is the mother of B, B is the mother of C. How is A related to C?","Mother","Grandmother","Aunt","Sister","B","technical","Blood Relations & Direction Sense"
"243","Pointing to a man, Sita said, 'He is the brother of my father’s only daughter.' How is the man related to Sita?","Uncle","Father","Brother","Cousin","C","technical","Blood Relations & Direction Sense"
"244","If P is the son of Q and Q is the daughter of R, how is R related to P?","Grandfather","Grandmother","Father","Mother","B","technical","Blood Relations & Direction Sense"
"245","A man walks 10 km north, then 5 km east, and finally 10 km south. How far is he from the starting point?","5 km","10 km","15 km","20 km","A","technical","Blood Relations & Direction Sense"
"246","Ravi walks 6 km east, turns right and walks 4 km, then turns right and walks 6 km. How far is he from the starting point?","0 km","4 km","6 km","8 km","B","technical","Blood Relations & Direction Sense"
"247","Pointing to a boy, Meena said, 'He is the son of the daughter of my father.' How is the boy related to Meena?","Nephew","Son","Cousin","Brother","A","technical","Blood Relations & Direction Sense"
"248","A walks 8 km north, then 6 km west, then 8 km south. In which direction is he from the starting point?","East","West","North","South","B","technical","Blood Relations & Direction Sense"
"249","If A is the sister of B, B is the brother of C, and C is the father of D, how is A related to D?","Aunt","Mother","Sister","Grandmother","A","technical","Blood Relations & Direction Sense"
"250","Pointing to a man, Rohan said, 'His mother is the only daughter of my mother.' How is the man related to Rohan?","Brother","Nephew","Cousin","Son","B","technical","Blood Relations & Direction Sense"
"251","A man moves 5 km south, then 3 km east, and then 5 km north. How far is he from the starting point?","3 km","5 km","8 km","10 km","A","technical","Blood Relations & Direction Sense"
"252","If P is the father of Q, and Q is the father of R, how is P related to R?","Father","Brother","Grandfather","Uncle","C","technical","Blood Relations & Direction Sense"
"253","Pointing to a girl, Aman said, 'She is the sister of my father’s only son.' How is the girl related to Aman?","Sister","Cousin","Aunt","Mother","A","technical","Blood Relations & Direction Sense"
"254","A walks 10 m north, then 10 m east, then 10 m south, then 10 m west. Where is he now?","North of start","South of start","East of start","At starting point","D","technical","Blood Relations & Direction Sense"
"255","If X is the mother of Y and Y is the sister of Z, how is X related to Z?","Mother","Aunt","Grandmother","Sister","A","technical","Blood Relations & Direction Sense"
"256","Pointing to a boy, Tina said, 'He is the son of my grandfather’s only son.' How is the boy related to Tina?","Brother","Cousin","Uncle","Nephew","A","technical","Blood Relations & Direction Sense"
